restaurant,resume,section,product,price,section_trt
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,OMELETTES,Omelette Nature,500 DA,OMELETTES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,OMELETTES,Omelette Fromage,700 DA,OMELETTES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PÂTES,Omelette aux champignons frais,900 DA,PATES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PÂTES,Omelette viande hachée,950 DA,PATES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PÂTES,Tagliatelles Poulet Champignons,1.000 DA,PATES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PÂTES,Spaghettis Bolognaise,1.000 DA,PATES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PÂTES,Tagliatelles au Saumon,700 DA,PATES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PÂTES,Pennes aux 4 Fromages Gratinées au Four,800 DA,PATES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PÂTES,Pennes Arrabiata,800 DA,PATES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PÂTES,Pennes aux épinards à la crème,800 DA,PATES
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Pennes aux aubergines,900 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Tagliatelles aux champignons frais,1.000 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Burger du Chef,1.100 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Steak à Cheval,1.300 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Escalope Milanaise,1.400 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Émincé de Poulet au Champignons,1.450 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,"Poulet Mariné, Grillé, Sauce Curry",2.200 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Cordon Bleu,2.400 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Risotto aux Gambas Grillées,2.400 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Tigre Qui Pleure,700 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Méchoui,1.100 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Chicken burger,1.700 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Escalope grillée,1.800 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Brochettes de boeuf,2.200 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Grillades mixtes,3.100 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Faux filet,3.400 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,T-bone de boeuf (500-600g),2.300 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Côte de boeuf (700 -800g),2.200 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,PLATS,Entrecôte (350g),1.400 DA,PLATS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,DESSERTS,Larmes du tigre,400 DA,DESSERTS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,DESSERTS,Escalope de poulet gratinée,450 DA,DESSERTS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,DESSERTS,Salade de Fruits,450 DA,DESSERTS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,DESSERTS,Tarte au Citron Meringuée,500 DA,DESSERTS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,DESSERTS,Fondant au Chocolat et Sa Boule de Glace,500 DA,DESSERTS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,DESSERTS,Tarte Aux Pommes,550 DA,DESSERTS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,DESSERTS,Mousse au Chocolat,550 DA,DESSERTS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,DESSERTS,Crème Brûlée à la Vanille Bourbon,500 DA,DESSERTS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,DESSERTS,Marquise au Chocolat,600 DA,DESSERTS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,DESSERTS,"Glaces 3 Boules (Vanille, Fraise, Chocolat)",600 DA,DESSERTS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,DESSERTS,Tiramisu Nutella Spéculos,600 DA,DESSERTS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,DESSERTS,Tiramisu,550 DA,DESSERTS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,DESSERTS,Nems nutella banane,550 DA,DESSERTS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS FRAÎCHES,Pavé nutella banane,100 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS FRAÎCHES,Cheesecake,200 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS FRAÎCHES,Eau Petite Bouteille,250 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS FRAÎCHES,Eau Grande Bouteille,250 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS FRAÎCHES,Soda,600 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS FRAÎCHES,Jus,500 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS FRAÎCHES,Red Bull,500 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,MOJITOS,Cocktail de Fruits Frais,500 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,MOJITOS,Jus Naturel Pressé,550 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,MOJITOS,Classique,600 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,MOJITOS,Cuba Libre: Coca-Cola,600 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS CHAUDES,Golden: Fruits de Passion,250 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS CHAUDES,Straw: Fraise,500 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS CHAUDES,Café Expresso,300 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS CHAUDES,Café Double Expresso,300 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS CHAUDES,Machiatto Latté (Noisette),300 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS CHAUDES,Café Bonbon,400 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS CHAUDES,Café au Lait,400 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS CHAUDES,Café Mocha,450 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS CHAUDES,Cappuccino,300 DA,BOISSONS
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,BOISSONS CHAUDES,Chocolat Chaud,300 DA,BOISSONS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,O'TACOS,Tacos tortilla M,500 DA,TACOS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,O'TACOS,Tacos tortilla L,650 DA,TACOS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,O'TACOS,Tacos tortilla XL,850 DA,TACOS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,O'TACOS,Tacos tortilla XXL,1.200 DA,TACOS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,GAMME O'FONDUE,Le Fondant - gratiné au four,650 DA,GAMME O'FONDUE
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,GAMME O'FONDUE,Le Fameux - gratiné au four,650 DA,GAMME O'FONDUE
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,GAMME O'FONDUE,Le Gourmand - gratiné au four,650 DA,GAMME O'FONDUE
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,GAMME O'FONDUE,Le Montagnard - gratiné au four,700 DA,GAMME O'FONDUE
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,LES FRITES,Barquette de frites,150 DA,LES FRITES
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,LES FRITES,Barquette de frites O'fondue,250 DA,LES FRITES
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,DESSERTS,Tiramisu caramel,300 DA,DESSERTS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,DESSERTS,Tiramisu chocolat,300 DA,DESSERTS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,DESSERTS,Tiramisu chocolat vanille,300 DA,DESSERTS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,DESSERTS,Tiramisu bounty,300 DA,DESSERTS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,DESSERTS,Tiramisu snickers,300 DA,DESSERTS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,DESSERTS,Tiramisu oreo,300 DA,DESSERTS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,DESSERTS,Tiramisu fraise,300 DA,DESSERTS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,DESSERTS,Tiramisu citron,300 DA,DESSERTS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,BOISSONS,Eau minérale,50 DA,BOISSONS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,BOISSONS,Coca cola,100 DA,BOISSONS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,BOISSONS,Fanta orange,100 DA,BOISSONS
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,BOISSONS,Limoncetto,200 DA,BOISSONS
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,"PIZZAS
Pizzas",Pizza végétarienne,650,PIZZA
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,"PIZZAS
Pizzas",Pizza tuna,600,PIZZA
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,"PIZZAS
Pizzas",Pizza orientale,650,PIZZA
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,"PIZZAS
Pizzas",Pizza fruits de mer,750,PIZZA
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,"PIZZAS
Pizzas",Pizza tagliato,650,PIZZA
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,"PIZZAS
Pizzas",Pizza margarita plus,550,PIZZA
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,"PIZZAS SPÉCIALES
Pizzas",Pizza pollo,650,PIZZA
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,"PIZZAS SPÉCIALES
Pizzas",Pizza 4 fromages,700,PIZZA
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,"PIZZAS SPÉCIALES
Pizzas",Pizza Barbecue,700,PIZZA
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,"PIZZAS SPÉCIALES
Pizzas",Pizza fumato,650,PIZZA
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,"PIZZAS BLANCHES
Pizzas",Pizza Chloé,900,PIZZA
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,"PIZZAS BLANCHES
Pizzas",Pizza regina,650,PIZZA
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,"PIZZAS BLANCHES
Pizzas",Pizza Indienne,650,PIZZA
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,"PIZZAS BLANCHES
Pizzas",Pizza crevettes,700,PIZZA
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,CALZONES,Calzone poulet,500,CALZONES
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,CALZONES,Calzone viande,550,CALZONES
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,CALZONES,Calzone thon,550,CALZONES
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,CALZONES,Calzone 4 fromages,500,CALZONES
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,BOISSONS,Coca Cola,100,BOISSONS
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,BOISSONS,Selecto,100,BOISSONS
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,BOISSONS,Hamoud blanche,100,BOISSONS
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,BOISSONS,Fanta orange,100,BOISSONS
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,BOISSONS,Eau minérale,50,BOISSONS
Pizza Nostra Feu de Bois Cheraga,4.2 • $$ • Sucré - Desserts • Pizza,PIZZAS CLASSIQUES,Marguerita,400 DA,PIZZA
Pizza Nostra Feu de Bois Cheraga,4.2 • $$ • Sucré - Desserts • Pizza,PIZZAS CLASSIQUES,Végétarienne,550 DA,PIZZA
Pizza Nostra Feu de Bois Cheraga,4.2 • $$ • Sucré - Desserts • Pizza,PIZZAS CLASSIQUES,Anchois,550 DA,PIZZA
Pizza Nostra Feu de Bois Cheraga,4.2 • $$ • Sucré - Desserts • Pizza,PIZZAS CLASSIQUES,3 Fromages,650 DA,PIZZA
Pizza Nostra Feu de Bois Cheraga,4.2 • $$ • Sucré - Desserts • Pizza,PIZZAS CLASSIQUES,Poulet,650 DA,PIZZA
Pizza Nostra Feu de Bois Cheraga,4.2 • $$ • Sucré - Desserts • Pizza,PIZZAS CLASSIQUES,Viande,700 DA,PIZZA
Pizza Nostra Feu de Bois Cheraga,4.2 • $$ • Sucré - Desserts • Pizza,PIZZAS CLASSIQUES,Poulet fumé,650 DA,PIZZA
Pizza Nostra Feu de Bois Cheraga,4.2 • $$ • Sucré - Desserts • Pizza,PIZZAS CLASSIQUES,Saucisse fumé,700 DA,PIZZA
